Students age,Gender,Relationship status,Department,Type of University,Father's education,Mother's education,Father's Occupation,Mother's Occupation,Family Income(monthly),Number of Siblings,Parental status,Previous School Location,Previous College Location,SSC result,HSC result,Scholarship in SSC,Scholarship in HSC,Accommodation,Weekly Study Time at home,Reading Scientific books/articles/journals,Reading Non-Scientific books/articles/journals,Attendance in class,Mid-Term Exam Preparation,Taking Exam Preparation,Taking Class Note,Any Co-curricular activity,Attend any Seminar related to department,Any part-time job,Smoking,Sports/ Exercise,Undergraduate 1st semester result (CGPA/GPA out of 4)
21-23 years,Female,In a love relationship,English,Private,B.A./B.Sc./Hons/Degree,Secondary School,Govt. Service,Housewife,41000-55000TK,1,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,No,No,With family,6-10Hour,No,Yes,More than 80%class,Alone,Regular study during the semester,Always,No,Yes,Tution,No,Sometimes,3.75 - 4.00
21-23 years,Female,Single,English,Private,B.A./B.Sc./Hons/Degree,Secondary School,Business,Housewife,41000-55000TK,1,Happily Married,Rural,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,Less than 1 Hour,No,No,Less than 60% classes,Alone,Close date to exam,Never,No,No,Tution,No,Sometimes,Less than 2.50
21-23 years,Male,In a love relationship,Cse,Private,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Private Job,Housewife,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,With family,Less than 1 Hour,No,Yes,Less than 60% classes,Group study,Close date to exam,Never,Yes,Yes,Others,Yes,Sometimes,Less than 2.50
24-26 years,Male,In a love relationship,EEE,Public,B.A./B.Sc./Hons/Degree,Secondary School,Govt. Service,Housewife,"56000-60,000",1,Happily Married,Rural,Country Town,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,11-14 Hour,No,No,More than 80%class,Group study,Regular study during the semester,Always,Yes,No,Tution,Yes,Sometimes,3.75 - 4.00
21-23 years,Female,In a love relationship,CSE,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,"56000-60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,Rental,11-14 Hour,No,No,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Not Applicable,No,Never,3.75 - 4.00
24-26 years,Male,Single,CSE,Private,B.A./B.Sc./Hons/Degree,Secondary School,Private Job,Housewife,41000-55000TK,3 or above,Happily Married,Rural,Rural,GPA 5.00,GPA 4.00 - 4.99,Yes,No,Rental,11-14 Hour,Yes,No,Less than 60% classes,Alone,Regular study during the semester,Sometimes,No,Yes,Others,Yes,Sometimes,3.00 - 3.24
21-23 years,Female,In a love relationship,Pharmacy ,Private,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Business,Private Job,">60,000",2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,With family,Less than 1 Hour,No,No,60%-79% classes,Alone,Close date to exam,Sometimes,No,No,Not Applicable,No,Sometimes,3.00 - 3.24
21-23 years,Male,In a love relationship,History,Others,B.A./B.Sc./Hons/Degree,College,Business,Govt. Service,">60,000",2,Happily Married,Rural,Urban,GPA 5.00,GPA 4.00 - 4.99,Yes,No,Rental,Less than 1 Hour,Yes,Yes,Less than 60% classes,Alone,Close date to exam,Sometimes,No,No,Not Applicable,No,Sometimes,Less than 2.50
24-26 years,Male,Single,Pharmacy ,Public,B.A./B.Sc./Hons/Degree,College,Business,Govt. Service,">60,000",2,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,11-14 Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,No,No,Not Applicable,No,Always,3.75 - 4.00
24-26 years,Female,In a love relationship,Pharmacy ,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Private Job,Govt. Service,"56000-60,000",3 or above,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,11-14 Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,No,Not Applicable,No,Never,3.75 - 4.00
24-26 years,Female,In a love relationship,Pharmacy ,Private,B.A./B.Sc./Hons/Degree,Secondary School,Business,Housewife,"56000-60,000",2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Not applicable,Close date to exam,Sometimes,No,No,Not Applicable,No,Sometimes,Less than 2.50
24-26 years,Female,In a love relationship,History,Others,College,Secondary School,Business,Housewife,41000-55000TK,1,Happily Married,Rural,Rural,GPA 4.00 - 4.99,GPA 3.00 - 3.99,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Alone,Close date to exam,Never,Yes,No,Not Applicable,No,Sometimes,Less than 2.50
24-26 years,Female,In a love relationship,Social work,Others,Secondary School,Primary School,Business,Housewife,"<25,000Tk",1,Died-one of them or both,Rural,Urban,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,With family,Less than 1 Hour,No,Yes,Less than 60% classes,Alone,Close date to exam,Sometimes,No,No,Not Applicable,No,Sometimes,Less than 2.50
24-26 years,Female,In a love relationship,BBA,Others,Secondary School,Primary School,Business,Housewife,"26,000-40,000TK",1,Died-one of them or both,Rural,Urban,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Alone,Close date to exam,Never,No,No,Not Applicable,No,Never,Less than 2.50
24-26 years,Female,Single,History,Others,Primary School,Primary School,Business,Housewife,"26,000-40,000TK",3 or above,Died-one of them or both,Rural,Rural,Less than 3.00,Less than 3.00,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Alone,Close date to exam,Never,No,No,Not Applicable,No,Sometimes,Less than 2.50
24-26 years,Female,In a love relationship,History,Others,College,Secondary School,Business,Housewife,">60,000",3 or above,Happily Married,Rural,Urban,GPA 3.00 - 3.99,GPA 3.00 - 3.99,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Alone,Close date to exam,Never,No,No,Not Applicable,No,Never,Less than 2.50
21-23 years,Female,Single,Bangla,Others,College,Secondary School,Business,Housewife,41000-55000TK,2,Happily Married,Urban,Urban,GPA 4.00 - 4.99,GPA 3.00 - 3.99,No,No,Rental,Less than 1 Hour,No,No,Less than 60% classes,Not applicable,Close date to exam,Sometimes,No,No,Not Applicable,No,Sometimes,3.00 - 3.24
21-23 years,Male,Single,Economics ,Others,College,Secondary School,Business,Housewife,"26,000-40,000TK",1,Died-one of them or both,Rural,Rural,GPA 4.00 - 4.99,GPA 3.00 - 3.99,No,No,With family,2-5 Hour,No,No,Less than 60% classes,Alone,Close date to exam,Sometimes,Yes,No,Business,No,Sometimes,2.75 - 2.99
24-26 years,Male,In a love relationship,Human Resource Management ,Public,B.A./B.Sc./Hons/Degree,Secondary School,Business,Housewife,41000-55000TK,2,Happily Married,Rural,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,University Hall,2-5 Hour,No,Yes,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Tution,No,Never,3.50 - 3.74
24-26 years,Male,In a love relationship,Human Resource Management ,Public,M.Sc/M.A.,College,Govt. Service,Housewife,41000-55000TK,1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,Less than 1 Hour,No,No,More than 80%class,Group study,Close date to exam,Never,Yes,Yes,Not Applicable,Yes,Sometimes,3.25 - 3.49
21-23 years,Male,Single,Statistics ,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Govt. Service,Govt. Service,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Group study,Close date to exam,Never,Yes,Yes,Tution,No,Sometimes,3.25 - 3.49
24-26 years,Male,Single,EEE,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,41000-55000TK,1,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,6-10Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Tution,No,Never,3.75 - 4.00
21-23 years,Male,Single,Political Science ,Others,College,Secondary School,Business,Housewife,"26,000-40,000TK",2,Happily Married,Rural,Rural,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Alone,Close date to exam,Never,Yes,No,Tution,Yes,Sometimes,2.50 - 2.74
21-23 years,Male,In a love relationship,Social Science ,Public,B.A./B.Sc./Hons/Degree,College,Private Job,Housewife,"26,000-40,000TK",1,Happily Married,Rural,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,University Hall,6-10Hour,No,Yes,More than 80%class,Alone,Regular study during the semester,Sometimes,Yes,Yes,Tution,No,Sometimes,3.50 - 3.74
21-23 years,Female,In a love relationship,BBA,Private,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,"56000-60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,Rental,2-5 Hour,No,Yes,More than 80%class,Alone,Close date to exam,Always,No,Yes,Not Applicable,No,Never,3.50 - 3.74
21-23 years,Female,Single,Agriculture ,Public,B.A./B.Sc./Hons/Degree,Secondary School,Business,Housewife,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,University Hall,11-14 Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Not Applicable,No,Never,3.75 - 4.00
24-26 years,Female,In a love relationship,Agriculture ,Public,B.A./B.Sc./Hons/Degree,College,Private Job,Housewife,41000-55000TK,No Siblings,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,2-5 Hour,No,Yes,More than 80%class,Alone,Regular study during the semester,Sometimes,No,Yes,Not Applicable,No,Never,3.50 - 3.74
24-26 years,Male,In a love relationship,Civil Engineering ,Public,Ph.D.,M.Sc/M.A.,Govt. Service,Govt. Service,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,6-10Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Tution,No,Sometimes,3.50 - 3.74
18-20 years,Male,In a love relationship,CSE,Private,M.Sc/M.A.,College,Private Job,Housewife,">60,000",No Siblings,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,Rental,Less than 1 Hour,No,No,More than 80%class,Group study,Close date to exam,Never,No,Yes,Not Applicable,Yes,Sometimes,3.00 - 3.24
18-20 years,Male,Single,CSE,Private,B.A./B.Sc./Hons/Degree,College,Private Job,Housewife,41000-55000TK,1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,Rental,6-10Hour,No,No,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Not Applicable,Yes,Sometimes,3.50 - 3.74
21-23 years,Male,Single,Mechanical Engineering ,Public,B.A./B.Sc./Hons/Degree,Secondary School,Govt. Service,Housewife,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,2-5 Hour,Yes,No,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Tution,No,Sometimes,3.25 - 3.49
24-26 years,Male,Married,Chemistry,Others,B.A./B.Sc./Hons/Degree,Secondary School,Business,Housewife,41000-55000TK,2,Happily Married,Rural,Rural,GPA 5.00,GPA 4.00 - 4.99,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Alone,Close date to exam,Sometimes,Yes,No,Tution,No,Always,2.75 - 2.99
21-23 years,Male,Single,Law,Public,M.Sc/M.A.,College,Govt. Service,Housewife,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,6-10Hour,No,Yes,More than 80%class,Alone,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Never,3.25 - 3.49
18-20 years,Female,In a love relationship,Law,Private,M.Sc/M.A.,M.Sc/M.A.,Govt. Service,Govt. Service,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,Rental,2-5 Hour,No,Yes,More than 80%class,Alone,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Never,3.00 - 3.24
24-26 years,Female,Single,Pharmacy ,Public,Ph.D.,M.Sc/M.A.,Govt. Service,Govt. Service,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,Yes,With family,More than 15 Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Not Applicable,No,Never,3.75 - 4.00
18-20 years,Male,In a love relationship,English,Others,College,Secondary School,Business,Housewife,">60,000",No Siblings,Happily Married,Urban,Urban,GPA 4.00 - 4.99,GPA 3.00 - 3.99,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Alone,Close date to exam,Never,Yes,No,Not Applicable,Yes,Never,2.50 - 2.74
24-26 years,Male,Single,Textile,Private,B.A./B.Sc./Hons/Degree,College,Private Job,Housewife,">60,000",No Siblings,Happily Married,Urban,Urban,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,Rental,2-5 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Not Applicable,Yes,Sometimes,3.25 - 3.49
18-20 years,Male,Single,ICT,Public,M.Sc/M.A.,College,Private Job,Housewife,">60,000",2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,2-5 Hour,Yes,No,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Tution,No,Sometimes,3.00 - 3.24
18-20 years,Male,Single,CSE,Private,B.A./B.Sc./Hons/Degree,College,Business,Housewife,"26,000-40,000TK",1,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,No,No,Rental,6-10Hour,No,No,More than 80%class,Alone,Close date to exam,Sometimes,No,No,Not Applicable,No,Sometimes,3.25 - 3.49
24-26 years,Male,Married,Bengali,Others,College,Secondary School,Business,Housewife,41000-55000TK,3 or above,Happily Married,Rural,Rural,GPA 4.00 - 4.99,GPA 3.00 - 3.99,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Alone,Close date to exam,Never,No,No,Business,Yes,Sometimes,2.75 - 2.99
21-23 years,Male,Single,EEE,Public,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,"26,000-40,000TK",2,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,Less than 1 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Tution,Yes,Sometimes,3.00 - 3.24
18-20 years,Male,Single,Mathematics ,Public,Secondary School,Secondary School,Business,Housewife,"26,000-40,000TK",1,Happily Married,Rural,Rural,GPA 5.00,GPA 4.00 - 4.99,No,No,University Hall,6-10Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Tution,No,Sometimes,3.25 - 3.49
21-23 years,Male,In a love relationship,BBA,Private,B.A./B.Sc./Hons/Degree,Secondary School,Govt. Service,Housewife,">60,000",1,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,Yes,No,Rental,Less than 1 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,No,No,Not Applicable,No,Sometimes,3.00 - 3.24
24-26 years,Male,In a love relationship,Accounting ,Private,B.A./B.Sc./Hons/Degree,Secondary School,Private Job,Housewife,"56000-60,000",1,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,No,No,Rental,6-10Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,No,Yes,Not Applicable,Yes,Sometimes,3.50 - 3.74
24-26 years,Male,Single,Chemical Engineering ,Public,College,Secondary School,Business,Housewife,"26,000-40,000TK",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,2-5 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Tution,No,Sometimes,3.25 - 3.49
21-23 years,Male,Single,Mathematics ,Public,B.A./B.Sc./Hons/Degree,Secondary School,Business,Housewife,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Tution,No,Sometimes,3.25 - 3.49
21-23 years,Male,In a love relationship,Mathematics ,Public,M.Sc/M.A.,College,Private Job,Housewife,41000-55000TK,1,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,Less than 1 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Tution,Yes,Sometimes,3.00 - 3.24
21-23 years,Female,Single,Mathematics ,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,6-10Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Not Applicable,No,Never,3.50 - 3.74
21-23 years,Male,Single,Mathematics ,Public,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,"26,000-40,000TK",1,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,Less than 1 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Tution,Yes,Never,3.00 - 3.24
24-26 years,Male,In a love relationship,Civil Engineering ,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Govt. Service,Govt. Service,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,6-10Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Always,Yes,Yes,Not Applicable,No,Never,3.50 - 3.74
24-26 years,Female,Single,Law,Private,College,College,Business,Housewife,">60,000",No Siblings,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,Rental,6-10Hour,No,Yes,More than 80%class,Alone,Regular study during the semester,Always,No,Yes,Not Applicable,No,Never,3.25 - 3.49
24-26 years,Female,In a love relationship,Law,Private,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Private Job,Govt. Service,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,Rental,More than 15 Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Not Applicable,No,Never,3.75 - 4.00
18-20 years,Male,Single,Physics ,Public,College,Primary School,Business,Housewife,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,Less than 1 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,No,Yes,Not Applicable,Yes,Sometimes,2.75 - 2.99
21-23 years,Male,Single,Chemistry ,Others,B.A./B.Sc./Hons/Degree,Secondary School,Private Job,Housewife,"26,000-40,000TK",1,Happily Married,Rural,Rural,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Group study,Close date to exam,Never,Yes,Yes,Not Applicable,No,Always,2.50 - 2.74
21-23 years,Male,Single,Chemistry ,Others,B.A./B.Sc./Hons/Degree,College,Private Job,Housewife,41000-55000TK,2,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,With family,2-5 Hour,No,No,Less than 60% classes,Alone,Close date to exam,Never,No,No,Tution,Yes,Sometimes,2.75 - 2.99
21-23 years,Male,Single,Film and Media,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Business,Housewife,"56000-60,000",1,Happily Married,Urban,Urban,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,With family,2-5 Hour,No,Yes,60%-79% classes,Group study,Close date to exam,Never,Yes,No,Not Applicable,Yes,Never,3.00 - 3.24
24-26 years,Male,Single,Textile ,Private,B.A./B.Sc./Hons/Degree,Primary School,Business,Housewife,41000-55000TK,1,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,2-5 Hour,No,No,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Business,Yes,Sometimes,3.00 - 3.24
18-20 years,Female,Single,Botany,Others,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,"26,000-40,000TK",1,Happily Married,Country Town,Country Town,GPA 4.00 - 4.99,GPA 3.00 - 3.99,No,No,With family,2-5 Hour,No,No,Less than 60% classes,Alone,Close date to exam,Never,No,No,Not Applicable,No,Always,3.00 - 3.24
21-23 years,Male,Single,Botany,Others,College,Primary School,Business,Housewife,"26,000-40,000TK",1,Happily Married,Rural,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Not applicable,Close date to exam,Never,Yes,No,Business,Yes,Sometimes,2.50 - 2.74
21-23 years,Male,In a love relationship,Physics,Others,College,Secondary School,Business,Housewife,41000-55000TK,1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Alone,Close date to exam,Never,No,No,Not Applicable,No,Sometimes,3.00 - 3.24
21-23 years,Female,Single,Botany,Others,B.A./B.Sc./Hons/Degree,Secondary School,Govt. Service,Housewife,">60,000",3 or above,Happily Married,Rural,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,11-14 Hour,No,Yes,60%-79% classes,Alone,Regular study during the semester,Sometimes,No,No,Not Applicable,No,Never,3.25 - 3.49
21-23 years,Female,Married,Math,Others,College,College,Business,Housewife,"56000-60,000",2,Happily Married,Country Town,Country Town,GPA 4.00 - 4.99,GPA 3.00 - 3.99,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Alone,Close date to exam,Sometimes,No,No,Not Applicable,No,Sometimes,2.50 - 2.74
24-26 years,Male,In a love relationship,English ,Public,B.A./B.Sc./Hons/Degree,College,Retired,Housewife,"26,000-40,000TK",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,Less than 1 Hour,No,Yes,60%-79% classes,Group study,Close date to exam,Never,Yes,No,Not Applicable,No,Never,2.75 - 2.99
